field_1,field_2,field_3,field_4
ICALGARY21,0,51.15,-114.07
ICALGARY22,1082.9544,51.07,-114.07
ICALGARY23,1267.6632,51.15,-114.22
ICALGARY25,0,51.13,-114.14
ICALGARY30,1078.0776,51.06,-114.02
ICALGARY31,0,51.11,-114.21
ICALGARY35,0,51.07,-114.06
ICALGARY36,0,51.05,-114.2
ICALGARY37,1235.0496,51.12,-114.14
ICALGARY38,0,51.15,-114.11
ICALGARY43,0,51.11,-114.2
ICALGARY45,1090.8792,51.12,-113.97
ICALGARY46,1108.8624,51.17,-114.09
ICALGARY47,1071.9816,51.13,-114.11
ICALGARY50,375.8184,51.06,-114.2
ICALGARY51,1084.1736,51.07,-114.07
ICALGARY54,1160.3736,51.12,-114.24
ICALGARY55,318.516,51.09,-114.26
ICALGARY56,1080.8208,51.12,-114.06
ICALGARY57,1044.8544,51.14,-114.11
ICALGARY59,1069.848,51.07,-114.07
ICALGARY64,1057.9608,51.06,-114.12
ICALGARY67,3048,51.05,-114.13
ICALGARY68,3048,51.05,-114.13
ICALGARY72,1139.0376,51.14,-114.12
ICALGARY74,1106.1192,51.09,-114.13
ICALGARY75,1232.916,51.13,-114.17
ICALGARY79,1235.964,51.12,-114.14
ICALGARY80,1132.0272,51.02,-114.14
ICALGARY81,1132.9416,51.02,-114.14
ICALGARY82,1101.852,51.09,-114.09
ICALGARY83,1260.348,51.05,-114.2
ICALGARY85,1076.8584,51.06,-114.01
ICALGARY89,1150.9248,51.14,-114.11
ICALGARY90,1124.1024,51.1,-114.19
ICALGARY91,1081.1256,51.18,-114.1
ICALGARY94,1206.0936,51.04,-114.16
ICALGARY95,1189.9392,51.13,-114.25
ICALGARY98,1235.964,51.14,-114.2
ICALGARY99,1220.1144,51.13,-114.16
ICALGARY101,1206.0936,51.08,-114.21
ICALGARY105,1089.0504,51.05,-114
ICALGARY109,1232.916,51.14,-114.15
ICALGARY110,1308.8112,51.15,-114.25
ICALGARY111,1096.0608,51.08,-114.11
ICALGARY115,1235.964,51.14,-114.15
ICALGARY117,1089.0504,51.1,-114.2
ICALGARY123,1047.9024,51.06,-114.13
ICALGARY125,1096.9752,51.03,-114.04
ICALGARY131,1124.1024,51.17,-114.11
ICALGARY132,1127.1504,51.16,-114.1
ICALGARY133,1076.8584,51.06,-114.04
ICALGARY136,1071.0672,51.08,-114.07
ICALGARY138,1235.964,51.15,-114.21
ICALGARY139,1096.9752,51.08,-114.08
ICALGARY141,1131.1128,51.16,-114.13
ICALGARY142,1235.964,51.1,-114.19
ICALGARY143,1114.9584,51.04,-114.13
ICALGARY144,1238.0976,51.07,-114.21
ICALGARY147,1157.9352,51.18,-114.12
ICALGARY148,1628.8512,51.09,-114.24
ICALGARY151,1235.964,51.14,-114.2
ICALGARY153,1200.912,51.13,-114.25
ICALGARY156,1056.7416,51.05,-114.07
ICALGARY157,1069.848,51.05,-114.08
ICALGARY158,1106.7288,51.08,-114.14
ICALGARY159,1056.7416,51.05,-114.07
IROCKY8,1118.0064,51.43,-114.03
IROCKY9,1118.0064,51.43,-114.03
IROCKY12,1298.1432,51.13,-114.65
IROCKY15,1107.948,51.43,-114.02
IROCKY17,1088.136,51.2,-113.94
IROCKY22,1280.16,51.12,-114.48
IROCKY26,1207.008,51.08,-114.27
IROCKY31,1275.8928,51.2,-114.28
IROCKY33,1296.924,51.27,-114.45
IROCKY45,1309.116,51.21,-114.41
IROCKY48,362.1024,51.11,-114.39
IROCKY54,362.1024,51.24,-114.58
IROCKY55,387.096,51.29,-114.62
IROCKY60,1266.444,51.19,-114.27
IROCKY62,396.8496,51.24,-114.42
IROCKY81,1254.8616,51.23,-114.51
IROCKYVI4,1088.136,51.2,-113.94
IROCKYVI8,1097.28,51.15,-114.28
IROCKYVI9,1069.848,51.22,-113.96
IROCKYVI12,1066.8,51.22,-113.96
IROCKYVI13,1210.056,51.26,-114.25
IROCKYVI14,928.7256,51.2,-113.94
IROCKYVI15,1085.088,51.2,-113.94
IROCKYVI17,1359.1032,51.07,-114.69
IROCKYVI21,1172.8704,51.13,-114.27
IROCKYVI23,1281.0744,51.21,-114.3
IROCKYVI24,1332.8904,51.33,-114.6
IROCKYVI27,1093.9272,51.22,-113.97
IROCKYVI28,1303.9344,51.18,-114.3
IMUNIC225,1432.8648,51.1,-114.76
ICOCHR1,1127.1504,51.19,-114.5
ICOCHR3,1147.8768,51.2,-114.49
ICOCHR4,1147.8768,51.2,-114.49
ICOCHR5,1235.0496,51.21,-114.47
ICOCHR6,1235.0496,51.21,-114.47
ICOCHR7,1186.8912,51.21,-114.51
ICOCHR10,370.332,51.15,-114.48
ICOCHR11,346.2528,51.19,-114.48
ICOCHR12,1136.904,51.18,-114.51
ICOCHR13,1125.9312,51.18,-114.46
ICOCHR14,1253.0328,51.19,-114.42
ICOCHR15,1253.0328,51.19,-114.42
ICOCHR16,1235.0496,51.21,-114.47
ICOCHR17,1145.1336,51.19,-114.49
ICOCHR18,1145.1336,51.17,-114.46
ICOCHR19,1145.1336,51.17,-114.46
ICOCHR20,1203.0456,51.21,-114.5
ICOCHR21,1145.1336,51.17,-114.45
ICOCHR23,346.2528,51.18,-114.47
ICOCHR24,1260.6528,51.21,-114.46
ICOCHR27,342.5952,51.19,-114.5
ICALGA36,1220.1144,51.05,-114.22
ICALGA44,1236.8784,51.06,-114.22
ICALGA50,1051.8648,50.99,-114.07
ICALGA52,1130.808,51,-114.14
ICALGA53,1100.0232,50.98,-114.14
ICALGA81,1117.7016,50.97,-114.13
ICALGA104,1190.8536,51.03,-114.19
ICALGA111,336.4992,51.01,-114.11
ICALGA170,334.9752,51.02,-114.23
ICALGA186,323.088,51.01,-114.09
ICALGA193,324.0024,50.99,-114.08
ICALGA215,1099.1088,50.99,-114.13
ICALGA227,1097.28,51.01,-114.2
ICALGA228,331.3176,50.97,-114.12
ICALGA230,1114.044,51,-114.13
ICALGA232,1127.1504,51.02,-114.22
ICALGA236,334.9752,50.99,-114.13
ICALGA241,1249.68,51.06,-114.22
ICALGA264,1103.0712,51,-114.12
ICALGA267,324.0024,50.99,-114.08
ICALGA271,345.3384,51.02,-114.21
IALBERTA73,1207.008,51.03,-114.46
IALBERTA111,1103.0712,50.96,-114.11
IALBERTA129,1274.9784,50.98,-114.52
IALBERTA188,1131.1128,51.01,-114.15
IALBERTA218,1097.28,50.96,-114.12
IALBERTA251,1104.9,50.96,-114.11
ICALGARY11,0,50.97,-114.11
ICALGARY42,1224.0768,51.01,-114.14
ICALGARY96,1206.0936,51.01,-114.21
ICALGARY134,1206.0936,51.04,-114.2
ICALGARY135,1206.0936,51,-114.12
ICALGARY137,1203.0456,50.97,-114.11
ICALGARY152,1219.2,51.04,-114.22
IROCKY30,372.7704,51.07,-114.28
IROCKY35,1167.9936,51.06,-114.37
IROCKY53,1132.0272,51.01,-114.27
IROCKY66,1153.0584,51.04,-114.31
IROCKY78,1222.8576,51.07,-114.28
IROCKY80,1136.904,51.02,-114.28
IKANAN1,1430.1216,50.95,-114.69
IKANAN4,1524,50.81,-114.97
IROCKYVI3,1206.0936,51.06,-114.32
IROCKYVI6,1338.6816,50.95,-114.59
IROCKYVI7,1219.2,50.94,-114.64
IROCKYVI11,1295.4,51.01,-114.45
IROCKYVI25,1331.976,50.95,-114.6
IROCKYVI30,1417.9296,50.95,-114.66
IROCKYVI34,1178.052,51.06,-114.31
IROCKYVI36,1111.9104,51.02,-114.27
