Date,Parameter ,Value,Approval Name,Grade Name
2021-05-20 6:45,47,156,APPROVED,UNSPECIFIED
2021-05-20 6:50,47,156,APPROVED,UNSPECIFIED
2021-05-20 6:55,47,156,APPROVED,UNSPECIFIED
2021-05-20 7:00,47,156,APPROVED,UNSPECIFIED
2021-05-20 7:05,47,156,APPROVED,UNSPECIFIED
2021-05-20 7:10,47,156,APPROVED,UNSPECIFIED
2021-05-20 7:15,47,156,APPROVED,UNSPECIFIED
2021-05-20 7:20,47,157,APPROVED,UNSPECIFIED
2021-05-20 7:25,47,156,APPROVED,UNSPECIFIED
2021-05-20 7:30,47,156,APPROVED,UNSPECIFIED
2021-05-20 7:35,47,156,APPROVED,UNSPECIFIED
2021-05-20 7:40,47,156,APPROVED,UNSPECIFIED
2021-05-20 7:45,47,156,APPROVED,UNSPECIFIED
2021-05-20 7:50,47,157,APPROVED,UNSPECIFIED
2021-05-20 7:55,47,156,APPROVED,UNSPECIFIED
2021-05-20 8:00,47,157,APPROVED,UNSPECIFIED
2021-05-20 8:05,47,157,APPROVED,UNSPECIFIED
2021-05-20 8:10,47,157,APPROVED,UNSPECIFIED
2021-05-20 8:15,47,156,APPROVED,UNSPECIFIED
2021-05-20 8:20,47,156,APPROVED,UNSPECIFIED
2021-05-20 8:25,47,157,APPROVED,UNSPECIFIED
2021-05-20 8:30,47,157,APPROVED,UNSPECIFIED
2021-05-20 8:35,47,156,APPROVED,UNSPECIFIED
2021-05-20 8:40,47,156,APPROVED,UNSPECIFIED
2021-05-20 8:45,47,156,APPROVED,UNSPECIFIED
2021-05-20 8:50,47,156,APPROVED,UNSPECIFIED
2021-05-20 8:55,47,157,APPROVED,UNSPECIFIED
2021-05-20 9:00,47,156,APPROVED,UNSPECIFIED
2021-05-20 9:05,47,157,APPROVED,UNSPECIFIED
2021-05-20 9:10,47,157,APPROVED,UNSPECIFIED
2021-05-20 9:15,47,157,APPROVED,UNSPECIFIED
2021-05-20 9:20,47,157,APPROVED,UNSPECIFIED
2021-05-20 9:25,47,157,APPROVED,UNSPECIFIED
2021-05-20 9:30,47,157,APPROVED,UNSPECIFIED
2021-05-20 9:35,47,157,APPROVED,UNSPECIFIED
2021-05-20 9:40,47,156,APPROVED,UNSPECIFIED
2021-05-20 9:45,47,156,APPROVED,UNSPECIFIED
2021-05-20 9:50,47,157,APPROVED,UNSPECIFIED
2021-05-20 9:55,47,156,APPROVED,UNSPECIFIED
2021-05-20 10:00,47,156,APPROVED,UNSPECIFIED
2021-05-20 10:05,47,157,APPROVED,UNSPECIFIED
2021-05-20 10:10,47,156,APPROVED,UNSPECIFIED
2021-05-20 10:15,47,157,APPROVED,UNSPECIFIED
2021-05-20 10:20,47,157,APPROVED,UNSPECIFIED
2021-05-20 10:25,47,157,APPROVED,UNSPECIFIED
2021-05-20 10:30,47,157,APPROVED,UNSPECIFIED
2021-05-20 10:35,47,157,APPROVED,UNSPECIFIED
2021-05-20 10:40,47,157,APPROVED,UNSPECIFIED
2021-05-20 10:45,47,157,APPROVED,UNSPECIFIED
2021-05-20 10:50,47,157,APPROVED,UNSPECIFIED
2021-05-20 10:55,47,157,APPROVED,UNSPECIFIED
2021-05-20 11:00,47,157,APPROVED,UNSPECIFIED
2021-05-20 11:05,47,157,APPROVED,UNSPECIFIED
2021-05-20 11:10,47,157,APPROVED,UNSPECIFIED
2021-05-20 11:15,47,156,APPROVED,UNSPECIFIED
2021-05-20 11:20,47,156,APPROVED,UNSPECIFIED
2021-05-20 11:25,47,156,APPROVED,UNSPECIFIED
2021-05-20 11:30,47,156,APPROVED,UNSPECIFIED
2021-05-20 11:35,47,156,APPROVED,UNSPECIFIED
2021-05-20 11:40,47,156,APPROVED,UNSPECIFIED
2021-05-20 11:45,47,156,APPROVED,UNSPECIFIED
2021-05-20 11:50,47,156,APPROVED,UNSPECIFIED
2021-05-20 11:55,47,155,APPROVED,UNSPECIFIED
2021-05-20 12:00,47,156,APPROVED,UNSPECIFIED
2021-05-20 12:05,47,155,APPROVED,UNSPECIFIED
2021-05-20 12:10,47,155,APPROVED,UNSPECIFIED
2021-05-20 12:15,47,155,APPROVED,UNSPECIFIED
2021-05-20 12:20,47,155,APPROVED,UNSPECIFIED
2021-05-20 12:25,47,155,APPROVED,UNSPECIFIED
2021-05-20 12:30,47,156,APPROVED,UNSPECIFIED
2021-05-20 12:35,47,156,APPROVED,UNSPECIFIED
2021-05-20 12:40,47,156,APPROVED,UNSPECIFIED
2021-05-20 12:45,47,156,APPROVED,UNSPECIFIED
2021-05-20 12:50,47,157,APPROVED,UNSPECIFIED
2021-05-20 12:55,47,157,APPROVED,UNSPECIFIED
2021-05-20 13:00,47,157,APPROVED,UNSPECIFIED
2021-05-20 13:05,47,157,APPROVED,UNSPECIFIED
2021-05-20 13:10,47,157,APPROVED,UNSPECIFIED
2021-05-20 13:15,47,158,APPROVED,UNSPECIFIED
2021-05-20 13:20,47,158,APPROVED,UNSPECIFIED
2021-05-20 13:25,47,158,APPROVED,UNSPECIFIED
2021-05-20 13:30,47,158,APPROVED,UNSPECIFIED
2021-05-20 13:35,47,158,APPROVED,UNSPECIFIED
2021-05-20 13:40,47,158,APPROVED,UNSPECIFIED
2021-05-20 13:45,47,158,APPROVED,UNSPECIFIED
2021-05-20 13:50,47,158,APPROVED,UNSPECIFIED
2021-05-20 13:55,47,157,APPROVED,UNSPECIFIED
2021-05-20 14:00,47,158,APPROVED,UNSPECIFIED
2021-05-20 14:05,47,158,APPROVED,UNSPECIFIED
2021-05-20 14:10,47,157,APPROVED,UNSPECIFIED
2021-05-20 14:15,47,157,APPROVED,UNSPECIFIED
2021-05-20 14:20,47,158,APPROVED,UNSPECIFIED
2021-05-20 14:25,47,157,APPROVED,UNSPECIFIED
2021-05-20 14:30,47,157,APPROVED,UNSPECIFIED
2021-05-20 14:35,47,157,APPROVED,UNSPECIFIED
2021-05-20 14:40,47,157,APPROVED,UNSPECIFIED
2021-05-20 14:45,47,157,APPROVED,UNSPECIFIED
2021-05-20 14:50,47,157,APPROVED,UNSPECIFIED
2021-05-20 14:55,47,157,APPROVED,UNSPECIFIED
2021-05-20 15:00,47,157,APPROVED,UNSPECIFIED
2021-05-20 15:05,47,157,APPROVED,UNSPECIFIED
2021-05-20 15:10,47,157,APPROVED,UNSPECIFIED
2021-05-20 15:15,47,157,APPROVED,UNSPECIFIED
2021-05-20 15:20,47,157,APPROVED,UNSPECIFIED
2021-05-20 15:25,47,157,APPROVED,UNSPECIFIED
2021-05-20 15:30,47,157,APPROVED,UNSPECIFIED
2021-05-20 15:35,47,157,APPROVED,UNSPECIFIED
2021-05-20 15:40,47,157,APPROVED,UNSPECIFIED
2021-05-20 15:45,47,157,APPROVED,UNSPECIFIED
2021-05-20 15:50,47,157,APPROVED,UNSPECIFIED
2021-05-20 15:55,47,157,APPROVED,UNSPECIFIED
2021-05-20 16:00,47,157,APPROVED,UNSPECIFIED
2021-05-20 16:05,47,157,APPROVED,UNSPECIFIED
2021-05-20 16:10,47,157,APPROVED,UNSPECIFIED
2021-05-20 16:15,47,157,APPROVED,UNSPECIFIED
